id,author_sort,title,isbn,identifiers,series,series_index,uuid
"462","Mitnick, Kevin","The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data","9780316380508","barnesnoble:w/the-art-of-invisibility-kevin-mitnick/1123889644,mobi-asin:B01GZY28CW,isbn:9780316380508","","1.0","ebdb977c-bdda-4657-8cbb-8400ee40b609"
"463","Stevens, Taylor","The Informationist","9780307717115","isbn:9780307717115,mobi-asin:B004IK8PWS,barnesnoble:w/informationist-taylor-stevens/1100045422,goodreads:9941438","Vanessa Michael Munroe","1.0","c922d0bc-470c-4895-b2da-f3fb320b6fa2"
"464","Fleming, Ian","Moonraker","9781612185453","amazon:1612185452,goodreads:15954467,isbn:9781612185453,ff:f/ian-fleming/moonraker,barnesnoble:w/moonraker-ian-fleming/1100675046,mobi-asin:B008L40R1E,google:L6ZfMQEACAAJ","James Bond (Original Series)","3.0","1136838c-ad04-4e95-8579-3120d50d3033"
"465","Naam, Ramez","Apex","9780857664020","barnesnoble:w/apex-ramez-naam/1118476943,isbn:9780857664020,goodreads:22926906","Nexus Trilogy","3.0","53d0ea8c-6bd9-4a6f-b2bf-2800477e082c"
"466","Naam, Ramez","Crux","9781942948018","barnesnoble:w/crux-ramez-naam/1113937931,isbn:9781942948018,amazon:B00TOZI7J8,mobi-asin:53c0bd8e-5ff9-466d-9fad-87de84b6fdf9,google:vZDDCAAAQBAJ,goodreads:15997527","Nexus Trilogy","2.0","6849e21a-add0-439b-bd56-f8be588b1e1c"
"467","Naam, Ramez","Nexus","9780857665508","isbn:9780857665508,goodreads:13642710,barnesnoble:w/nexus-ramez-naam/1110503708","Nexus Trilogy","1.0","2f5ffd99-0358-47d0-9e18-4ede916ca001"
"468","McDonald, Ian","Wolf Moon","9780765375537","isbn:9780765375537,goodreads:28220871,amazon:0765375532,google:b7TYoAEACAAJ,barnesnoble:w/luna-ian-mcdonald/1126272861","Luna","2.0","44ad1349-673d-4b83-8f3b-a85a6dd532ab"
"469","Fleming, Ian","Diamonds Are Forever","9781612185460","barnesnoble:w/diamonds-are-forever-ian-fleming/1100668263,isbn:9781612185460,amazon:1612185460,ff:f/ian-fleming/diamonds-are-forever,google:9VcvMQEACAAJ,goodreads:15954468,mobi-asin:B008L40OW6","James Bond (Original Series)","4.0","1c0572c6-a058-432c-945d-7c8256334127"
"470","Mingyur, Yongey","The Joy of Living: Unlocking the Secret and Science of Happiness","9780307346254","mobi-asin:712683fb-d779-456e-987c-ce44ff0c3ac7,isbn:9780307346254,goodreads:289448,barnesnoble:w/the-joy-of-living-yongey-mingyur-rinpoche/1113774756","","1.0","6667bba7-43e1-4ce8-891b-f3334748c2f4"
"472","Pirsig, Robert M.","Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values","9780060589462","goodreads:629,mobi-asin:B0026772N8,isbn:9780060589462","","1.0","3053025d-bb75-4931-8788-de4ed9b3ffc5"
"473","Doctorow, Cory","Walkaway","9780765392763","goodreads:30139664,isbn:9780765392763","","1.0","0890da1d-65dd-4f92-93b8-2cc2de840755"
"474","Pratchett, Terry","The Light Fantastic","9780061020704","barnesnoble:w/light-fantastic-terry-pratchett/1100616025,isbn:9780061020704,goodreads:34506","Discworld","2.0","7a3ff559-5d3a-4d5b-af34-8d28c32ecd5d"
"475","Kondo, Marie","The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","9781607747314","goodreads:22551617,isbn:9781607747314,barnesnoble:w/the-life-changing-magic-of-tidying-up-marie-kondo/1119564096","Magic cleaning","1.0","f0a8356a-e44f-4796-988d-ed8675ef8fff"
"477","Coupland, Douglas","Player One: What Is to Become of Us","9780887849688","isbn:9780887849688,barnesnoble:w/player-one-douglas-coupland/1100260332,google:gupYrpmBo80C,goodreads:7872823,amazon:0887849687","","1.0","a78f33a3-d3a8-470a-bb88-3dc324765053"
"478","Schimelpfenig, Tod","NOLS Wilderness Medicine","9780811718257","google:PsXyjgEACAAJ,barnesnoble:w/nols-wilderness-medicine-tod-schimelpfenig/1103279485,goodreads:28288103,isbn:9780811718257,amazon:0811718255","","1.0","6979a02b-56e1-447a-a372-e11cc78b77e3"
"479","Zeek","The Art of Shen Ku","9780399527258","isbn:9780399527258,goodreads:301811","","1.0","688dffb3-627f-46e8-bac9-cbead64b067d"
"480","Mason, Zachary","Void Star","9780374285067","isbn:9780374285067,goodreads:29939057","","1.0","6e93df14-b099-40ff-a161-9f2e05d44a44"
"482","McBay, Aric","In the Wake: Tools for Gridcash","","","","1.0","b58ea078-5f56-41da-bf05-6cb9641dae0a"
"483","McBay, Aric","Peak Oil Survival: Preparation for Life After Gridcrash","9781592281275","asin:B001F7BFBA,oasin:1592281273,guid:4ea988c82947c84d8859d81640da103ae9f5572d,goodreads:295815,isbn:9781592281275","","1.0","901001a2-1db9-41e6-957c-b378716430dd"
"484","Woodmencey, Jim","Reading Weather, 2nd: The Field Guide to Forecasting the Weather","9780762782369","isbn:9780762782369,oasin:0762782366,barnesnoble:w/reading-weather-2nd-jim-woodmencey/1110980604,guid:94c0c027406e9fbad178bb6f3a2984f532ff2fc,goodreads:13593039,asin:B0091RRH36","","1.0","ccbf3e40-cab3-4062-b18c-56acc3e56880"
"485","Stephenson, Neal & Galland, Nicole","The Rise and Fall of D.O.D.O.","9780062409164","barnesnoble:w/the-rise-and-fall-of-dodo-neal-stephenson/1124651137,goodreads:32075825,mobi-asin:B01M0HPHR6,isbn:9780062409164","","1.0","c6311cba-6419-429a-a7bb-532c5c7fef70"
"486","Weisgerber, Bernie","An Ax to Grind: A Practical Ax Manual","","","","1.0","d9d377d8-5db6-4c4d-944c-5872fa023ce1"
"487","Rollins, Henry","Get in the Van","9781880985823","isbn:9781880985823,mobi-asin:B004GXBA06,goodreads:19070198","","1.0","4e4e212a-03ab-4413-b812-4428db8f399c"
"488","Feynman, Richard","Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character","9780393316049","goodreads:5544,uri:urn:uuid:75cce0cd-f428-4227-9cad-a2f4828b3e83,isbn:9780393316049","","1.0","17017166-adee-48c7-9f7b-f11eebe8ec0c"
"489","Anders, Charlie Jane","All the Birds in the Sky","9781466871120","goodreads:25659088,isbn:9781466871120","","1.0","ac7ee3a2-399a-4243-b769-5340bc44e8fc"
"490","Harari, Yuval Noah","Sapiens: A Brief History of Humankind","9780062316110","mobi-asin:fb84f097-8b75-44b5-8dd2-650c14f31316,goodreads:23692271,isbn:9780062316110,amazon:0062316095,barnesnoble:w/sapiens-yuval-noah-harari/1118611502","","1.0","7bf5a4b9-68f9-455a-9c72-9f99132fed93"
"491","Crouch, Blake","Dark Matter","9781101904220","isbn:9781101904220,ff:c/blake-crouch/dark-matter,google:1imJDAAAQBAJ,goodreads:27833670,amazon:B0180T0IUY,mobi-asin:B0180T0IUY","","1.0","f1ddeb5b-33d2-4883-9e11-e685365c4029"
"492","Wolfe, Tom","The Right Stuff","9780312427566","isbn:9780312427566,goodreads:586472,amazon:B00139XSBA,barnesnoble:w/the-right-stuff-tom-wolfe/1117058151,google:CiSXWxWkx_oC","","1.0","ee2be86e-c837-4626-8bbe-fec3d1ae2090"
"493","Dyson, George","Darwin Among the Machines: The Evolution of Global Intelligence","9780738200309","isbn:9780738200309,goodreads:191355","","1.0","e94e9981-96a9-4b15-8518-1350ed42316f"
"494","Palmer, Ada","Too Like the Lightning","9781786699503","goodreads:26114545,mobi-asin:B015MP6WPY,amazon:1786699508,isbn:9781786699503,google:1yXfCwAAQBAJ","Terra Ignota","1.0","6053a08a-5198-45b5-ba8b-755caf108962"
"496","Bloom, John","Eccentric Orbits: The Iridium Story","9780802121684","amazon:0802121683,barnesnoble:w/eccentric-orbits-john-bloom/1122941373,google:IMtmjwEACAAJ,isbn:9780802121684,goodreads:26893707","","1.0","4a07c8b8-fde6-44d2-9df4-34608b196f79"
"497","Sterling, Bruce","Heavy Weather","9781857981926","amazon:055357292X,google:rlUdQ4i6ZY0C,isbn:9781857981926,goodreads:3009917,barnesnoble:w/heavy-weather-bruce-sterling/1100013779","","1.0","369e3b42-9a1a-4734-96d2-d7a9b64b55b9"
"498","Sterling, Bruce","The Zenith Angle","9780345468659","amazon:0345468651,isbn:9780345468659,barnesnoble:w/zenith-angle-bruce-sterling/1100293445,goodreads:218568,google:lvpmN4O068sC","","1.0","0d63cfcd-c540-4a8d-83c3-585b167538ac"
"502","Macintyre, Ben & Carré, John le","A Spy Among Friends: Kim Philby and the Great Betrayal","9780804136648","goodreads:21408700,isbn:9780804136648,google:wIzIAgAAQBAJ,barnesnoble:w/a-spy-among-friends-ben-macintyre/1117447776","","1.0","41e63f14-0fbf-4fbc-8769-fa3f409eb319"
"504","Slocum, Joshua","Sailing Alone Around the World","9781589760899","amazon:0486203263,goodreads:17782039,google:_ghNnQAACAAJ,isbn:9781589760899","","1.0","5100109c-4702-409c-a2e8-e339121214f0"
"505","Newitz, Annalee","Scatter, Adapt, and Remember: How Humans Will Survive a Mass Extinction","9780385535922","google:uDL9LLwgJIEC,amazon:B00A9ET57Q,barnesnoble:w/scatter-adapt-and-remember-annalee-newitz/1112030620,isbn:9780385535922,goodreads:16156173","","1.0","e67e49de-06be-4308-ad8c-de97b8a05237"
"506","Greitens, Eric","Resilience: Hard-Won Wisdom for Living a Better Life","9780544705265","barnesnoble:w/resilience-eric-greitens/1119887801,isbn:9780544705265","","1.0","af0df5fa-e04f-48d3-af36-f3c2a99f3d4d"
"509","Laux, Douglas & Pezzullo, Ralph","Left of Boom: How a Young CIA Case Officer Penetrated the Taliban and Al-Qaeda","9781466893214","isbn:9781466893214,amazon:B0111KOV2K,google:AdIaCgAAQBAJ,goodreads:25857799,barnesnoble:w/left-of-boom-doug-laux/1123640748","","1.0","8025dec2-b56b-4e50-9b73-91eea7c574a1"
"510","Greitens, Eric","The Heart and the Fist: The Education of a Humanitarian, the Making of a Navy SEAL","9780547424859","isbn:9780547424859,goodreads:9525402,google:U1zMgkoUuwgC,barnesnoble:w/heart-and-the-fist-eric-greitens/1029217965,amazon:B0098RLDT8","","1.0","d58c1079-3643-472b-a726-fd447fd5255f"
"511","Burrington, Ingrid","Networks of New York: An Illustrated Field Guide to Urban Internet Infrastructure","9781612195421","amazon:1612195423,google:agoACwAAQBAJ,goodreads:27876376,barnesnoble:w/networks-of-new-york-ingrid-burrington/1123015015,isbn:9781612195421","","1.0","e3a8d04c-17d0-4a63-902c-e2af4fa499a1"
"512","Ellis, Bret Easton","American Psycho","9780679735779","barnesnoble:w/american-psycho-bret-easton-ellis/1100619412,amazon:0679735771,isbn:9780679735779,goodreads:8570631,google:pfLFPDWjq8YC","","1.0","2db45421-349e-411a-9fd5-9e22eff3fe63"
"514","Preston, Richard","The Wild Trees: A Story of Passion and Daring","9781588366030","google:QNJXefA8U58C,isbn:9781588366030,goodreads:7159497,amazon:0812975596","","1.0","939f9ce2-5bb7-47d9-8ba8-991d031ce95f"
